Site_ID,Market,Density,FY,Cost_Line_Description,Amount_USD,Traffic_TB_annual
SITE-10007,South MS,Suburban,2025,Power & gen fuel,4823.6,78.82
SITE-10007,South MS,Suburban,2025,Small cell attach fees,4250.71,78.82
SITE-10007,South MS,Suburban,2025,NOC / dispatch (allocated),5619.0,78.82
SITE-10007,South MS,Suburban,2025,Spares & logistics,4383.5,78.82
SITE-10008,North MS,Suburban,2025,Tower / Collocation,21380.58,34.23
SITE-10008,North MS,Suburban,2025,MW transport — 3rd party,14075.98,34.23
SITE-10008,North MS,Suburban,2025,Fiber backhaul circuit,9781.1,34.23
SITE-10008,North MS,Suburban,2025,Field workforce (contract),14364.88,34.23
SITE-10008,North MS,Suburban,2025,OEM RAN maint.,12268.28,34.23
SITE-10008,North MS,Suburban,2025,Power & gen fuel,5433.4,34.23
SITE-10008,North MS,Suburban,2025,Small cell attach fees,4385.8,34.23
SITE-10008,North MS,Suburban,2025,NOC / dispatch (allocated),5727.11,34.23
SITE-10008,North MS,Suburban,2025,Spares & logistics,4569.04,34.23
SITE-10009,South MS,Rural,2025,Tower / Collocation,25173.57,98.52
SITE-10009,South MS,Rural,2025,MW transport — 3rd party,16806.81,98.52
SITE-10009,South MS,Rural,2025,Fiber backhaul circuit,11870.14,98.52
SITE-10009,South MS,Rural,2025,Field workforce (contract),22694.42,98.52
SITE-10009,South MS,Rural,2025,OEM RAN maint.,13745.25,98.52
SITE-10009,South MS,Rural,2025,Power & gen fuel,5885.7,98.52
SITE-10009,South MS,Rural,2025,Small cell attach fees,4990.11,98.52
SITE-10009,South MS,Rural,2025,NOC / dispatch (allocated),7301.39,98.52
SITE-10009,South MS,Rural,2025,Spares & logistics,4883.66,98.52
SITE-10010,North MS,Rural,2025,Tower / Collocation,25103.45,98.83
SITE-10010,North MS,Rural,2025,MW transport — 3rd party,17797.72,98.83
SITE-10010,North MS,Rural,2025,Fiber backhaul circuit,12860.35,98.83
SITE-10010,North MS,Rural,2025,Field workforce (contract),21832.18,98.83
SITE-10010,North MS,Rural,2025,OEM RAN maint.,12922.78,98.83
SITE-10010,North MS,Rural,2025,Power & gen fuel,6096.75,98.83
SITE-10010,North MS,Rural,2025,Small cell attach fees,4772.29,98.83
SITE-10010,North MS,Rural,2025,NOC / dispatch (allocated),7203.07,98.83
SITE-10010,North MS,Rural,2025,Spares & logistics,5009.81,98.83
SITE-10011,TN Border,Urban,2025,Tower / Collocation,21237.7,17.0
SITE-10011,TN Border,Urban,2025,MW transport — 3rd party,13635.59,17.0
SITE-10011,TN Border,Urban,2025,Fiber backhaul circuit,11184.3,17.0
SITE-10011,TN Border,Urban,2025,Field workforce (contract),15498.44,17.0
SITE-10011,TN Border,Urban,2025,OEM RAN maint.,11144.1,17.0
SITE-10011,TN Border,Urban,2025,Power & gen fuel,5174.19,17.0
SITE-10011,TN Border,Urban,2025,Small cell attach fees,3925.51,17.0
SITE-10011,TN Border,Urban,2025,NOC / dispatch (allocated),6386.55,17.0
SITE-10011,TN Border,Urban,2025,Spares & logistics,4237.97,17.0
SITE-10012,North MS,Rural,2025,Tower / Collocation,25341.46,70.47
SITE-10012,North MS,Rural,2025,MW transport — 3rd party,18664.31,70.47
SITE-10012,North MS,Rural,2025,Fiber backhaul circuit,12835.23,70.47
SITE-10012,North MS,Rural,2025,Field workforce (contract),21230.56,70.47
SITE-10012,North MS,Rural,2025,OEM RAN maint.,13327.07,70.47
SITE-10012,North MS,Rural,2025,Power & gen fuel,6013.46,70.47
SITE-10012,North MS,Rural,2025,Small cell attach fees,5167.03,70.47
SITE-10012,North MS,Rural,2025,NOC / dispatch (allocated),7139.53,70.47
SITE-10012,North MS,Rural,2025,Spares & logistics,4755.81,70.47
SITE-10013,North MS,Rural,2025,Tower / Collocation,23918.37,120.35
SITE-10013,North MS,Rural,2025,MW transport — 3rd party,17593.24,120.35
SITE-10013,North MS,Rural,2025,Fiber backhaul circuit,11894.88,120.35
SITE-10013,North MS,Rural,2025,Field workforce (contract),21908.57,120.35
SITE-10013,North MS,Rural,2025,OEM RAN maint.,13358.65,120.35
SITE-10013,North MS,Rural,2025,Power & gen fuel,6337.64,120.35
SITE-10013,North MS,Rural,2025,Small cell attach fees,5337.04,120.35
SITE-10013,North MS,Rural,2025,NOC / dispatch (allocated),7519.91,120.35
SITE-10013,North MS,Rural,2025,Spares & logistics,4826.78,120.35
SITE-10014,Rural West,Rural,2025,Tower / Collocation,25601.94,15.76
SITE-10014,Rural West,Rural,2025,MW transport — 3rd party,17082.2,15.76
SITE-10014,Rural West,Rural,2025,Fiber backhaul circuit,13359.18,15.76
SITE-10014,Rural West,Rural,2025,Field workforce (contract),22372.56,15.76
SITE-10014,Rural West,Rural,2025,OEM RAN maint.,13438.18,15.76
SITE-10014,Rural West,Rural,2025,Power & gen fuel,6627.83,15.76
SITE-10014,Rural West,Rural,2025,Small cell attach fees,4977.72,15.76
SITE-10014,Rural West,Rural,2025,NOC / dispatch (allocated),7227.37,15.76
SITE-10014,Rural West,Rural,2025,Spares & logistics,4948.92,15.76
SITE-10015,South MS,Rural,2025,Tower / Collocation,23531.23,31.25
SITE-10015,South MS,Rural,2025,MW transport — 3rd party,17261.3,31.25
SITE-10015,South MS,Rural,2025,Fiber backhaul circuit,13689.29,31.25
SITE-10015,South MS,Rural,2025,Field workforce (contract),22657.15,31.25
SITE-10015,South MS,Rural,2025,OEM RAN maint.,14393.84,31.25
SITE-10015,South MS,Rural,2025,Power & gen fuel,6566.42,31.25
SITE-10015,South MS,Rural,2025,Small cell attach fees,5474.2,31.25
SITE-10015,South MS,Rural,2025,NOC / dispatch (allocated),7231.76,31.25
SITE-10015,South MS,Rural,2025,Spares & logistics,4998.33,31.25
SITE-10016,South MS,Rural,2025,Tower / Collocation,23732.46,56.71
SITE-10016,South MS,Rural,2025,MW transport — 3rd party,18131.17,56.71
SITE-10016,South MS,Rural,2025,Fiber backhaul circuit,12207.32,56.71
SITE-10016,South MS,Rural,2025,Field workforce (contract),22811.13,56.71
SITE-10016,South MS,Rural,2025,OEM RAN maint.,13269.47,56.71
SITE-10016,South MS,Rural,2025,Power & gen fuel,5806.98,56.71
SITE-10016,South MS,Rural,2025,Small cell attach fees,5422.84,56.71
SITE-10016,South MS,Rural,2025,NOC / dispatch (allocated),6810.03,56.71
SITE-10016,South MS,Rural,2025,Spares & logistics,4885.72,56.71
SITE-10017,TN Border,Suburban,2025,Tower / Collocation,19926.74,84.09
SITE-10017,TN Border,Suburban,2025,MW transport — 3rd party,13957.4,84.09
SITE-10017,TN Border,Suburban,2025,Fiber backhaul circuit,10936.8,84.09
SITE-10017,TN Border,Suburban,2025,Field workforce (contract),16455.03,84.09
SITE-10017,TN Border,Suburban,2025,OEM RAN maint.,11425.35,84.09
SITE-10017,TN Border,Suburban,2025,Power & gen fuel,4809.42,84.09
SITE-10017,TN Border,Suburban,2025,Small cell attach fees,3919.48,84.09
SITE-10017,TN Border,Suburban,2025,NOC / dispatch (allocated),5692.63,84.09
SITE-10017,TN Border,Suburban,2025,Spares & logistics,3999.64,84.09
SITE-10018,Rural West,Suburban,2025,Tower / Collocation,21594.98,52.05
SITE-10018,Rural West,Suburban,2025,MW transport — 3rd party,14581.06,52.05
SITE-10018,Rural West,Suburban,2025,Fiber backhaul circuit,9968.97,52.05
SITE-10018,Rural West,Suburban,2025,Field workforce (contract),16044.5,52.05
SITE-10018,Rural West,Suburban,2025,OEM RAN maint.,11817.73,52.05
SITE-10018,Rural West,Suburban,2025,Power & gen fuel,5295.01,52.05
SITE-10018,Rural West,Suburban,2025,Small cell attach fees,3999.12,52.05
SITE-10018,Rural West,Suburban,2025,NOC / dispatch (allocated),5591.81,52.05
SITE-10018,Rural West,Suburban,2025,Spares & logistics,4540.74,52.05
SITE-10019,North MS,Suburban,2025,Tower / Collocation,20905.74,34.18
SITE-10019,North MS,Suburban,2025,MW transport — 3rd party,14769.33,34.18
SITE-10019,North MS,Suburban,2025,Fiber backhaul circuit,11235.41,34.18
SITE-10019,North MS,Suburban,2025,Field workforce (contract),14777.22,34.18
SITE-10019,North MS,Suburban,2025,OEM RAN maint.,12200.48,34.18
SITE-10019,North MS,Suburban,2025,Power & gen fuel,4712.29,34.18
SITE-10019,North MS,Suburban,2025,Small cell attach fees,4287.53,34.18
SITE-10019,North MS,Suburban,2025,NOC / dispatch (allocated),6077.54,34.18
SITE-10019,North MS,Suburban,2025,Spares & logistics,3982.01,34.18
SITE-10020,TN Border,Urban,2025,Tower / Collocation,21265.84,92.06
SITE-10020,TN Border,Urban,2025,MW transport — 3rd party,15391.53,92.06
SITE-10020,TN Border,Urban,2025,Fiber backhaul circuit,10981.96,92.06
SITE-10020,TN Border,Urban,2025,Field workforce (contract),15220.15,92.06
SITE-10020,TN Border,Urban,2025,OEM RAN maint.,11944.5,92.06
SITE-10020,TN Border,Urban,2025,Power & gen fuel,4706.55,92.06
SITE-10020,TN Border,Urban,2025,Small cell attach fees,3984.22,92.06
SITE-10020,TN Border,Urban,2025,NOC / dispatch (allocated),6263.62,92.06
SITE-10020,TN Border,Urban,2025,Spares & logistics,4451.84,92.06
SITE-10021,AL Panhandle,Urban,2025,Tower / Collocation,21299.26,54.18
SITE-10021,AL Panhandle,Urban,2025,MW transport — 3rd party,15241.17,54.18
SITE-10021,AL Panhandle,Urban,2025,Fiber backhaul circuit,10644.76,54.18
SITE-10021,AL Panhandle,Urban,2025,Field workforce (contract),15085.98,54.18
SITE-10021,AL Panhandle,Urban,2025,OEM RAN maint.,11194.03,54.18
SITE-10021,AL Panhandle,Urban,2025,Power & gen fuel,5039.52,54.18
SITE-10021,AL Panhandle,Urban,2025,Small cell attach fees,4353.31,54.18
SITE-10021,AL Panhandle,Urban,2025,NOC / dispatch (allocated),6299.85,54.18
SITE-10021,AL Panhandle,Urban,2025,Spares & logistics,4218.65,54.18
SITE-10022,South MS,Urban,2025,Tower / Collocation,22004.83,72.9
SITE-10022,South MS,Urban,2025,MW transport — 3rd party,13485.16,72.9
SITE-10022,South MS,Urban,2025,Fiber backhaul circuit,9745.76,72.9
SITE-10022,South MS,Urban,2025,Field workforce (contract),15531.17,72.9
SITE-10022,South MS,Urban,2025,OEM RAN maint.,10777.26,72.9
SITE-10022,South MS,Urban,2025,Power & gen fuel,5364.93,72.9
SITE-10022,South MS,Urban,2025,Small cell attach fees,4121.03,72.9
SITE-10022,South MS,Urban,2025,NOC / dispatch (allocated),5610.97,72.9
SITE-10022,South MS,Urban,2025,Spares & logistics,4536.26,72.9
SITE-10023,South MS,Urban,2025,Tower / Collocation,19783.24,32.77
SITE-10023,South MS,Urban,2025,MW transport — 3rd party,13508.68,32.77
SITE-10023,South MS,Urban,2025,Fiber backhaul circuit,9669.67,32.77
SITE-10023,South MS,Urban,2025,Field workforce (contract),14211.61,32.77
SITE-10023,South MS,Urban,2025,OEM RAN maint.,10829.3,32.77
SITE-10023,South MS,Urban,2025,Power & gen fuel,4735.56,32.77
SITE-10023,South MS,Urban,2025,Small cell attach fees,4311.98,32.77
SITE-10023,South MS,Urban,2025,NOC / dispatch (allocated),6122.04,32.77
SITE-10023,South MS,Urban,2025,Spares & logistics,4177.67,32.77
SITE-10024,Rural West,Suburban,2025,Tower / Collocation,22120.66,84.13
SITE-10024,Rural West,Suburban,2025,MW transport — 3rd party,13342.83,84.13
SITE-10024,Rural West,Suburban,2025,Fiber backhaul circuit,9938.34,84.13
SITE-10024,Rural West,Suburban,2025,Field workforce (contract),14655.55,84.13
SITE-10024,Rural West,Suburban,2025,OEM RAN maint.,10965.92,84.13
SITE-10024,Rural West,Suburban,2025,Power & gen fuel,5158.13,84.13
SITE-10024,Rural West,Suburban,2025,Small cell attach fees,4193.06,84.13
SITE-10024,Rural West,Suburban,2025,NOC / dispatch (allocated),5520.89,84.13
SITE-10024,Rural West,Suburban,2025,Spares & logistics,4164.06,84.13
SITE-10025,AL Panhandle,Suburban,2025,Tower / Collocation,22061.43,16.85
SITE-10025,AL Panhandle,Suburban,2025,MW transport — 3rd party,13362.37,16.85
SITE-10025,AL Panhandle,Suburban,2025,Fiber backhaul circuit,11183.83,16.85
SITE-10025,AL Panhandle,Suburban,2025,Field workforce (contract),14318.63,16.85
SITE-10025,AL Panhandle,Suburban,2025,OEM RAN maint.,12052.0,16.85
SITE-10025,AL Panhandle,Suburban,2025,Power & gen fuel,5428.56,16.85
SITE-10025,AL Panhandle,Suburban,2025,Small cell attach fees,4576.11,16.85
SITE-10025,AL Panhandle,Suburban,2025,NOC / dispatch (allocated),6237.53,16.85
SITE-10025,AL Panhandle,Suburban,2025,Spares & logistics,4440.04,16.85
SITE-10026,TN Border,Suburban,2025,Tower / Collocation,21064.87,19.71
SITE-10026,TN Border,Suburban,2025,MW transport — 3rd party,14427.0,19.71
SITE-10026,TN Border,Suburban,2025,Fiber backhaul circuit,11071.12,19.71
SITE-10026,TN Border,Suburban,2025,Field workforce (contract),15208.93,19.71
SITE-10026,TN Border,Suburban,2025,OEM RAN maint.,11213.96,19.71
SITE-10026,TN Border,Suburban,2025,Power & gen fuel,5213.88,19.71
SITE-10026,TN Border,Suburban,2025,Small cell attach fees,4091.2,19.71
SITE-10026,TN Border,Suburban,2025,NOC / dispatch (allocated),5607.06,19.71
SITE-10026,TN Border,Suburban,2025,Spares & logistics,4234.96,19.71
SITE-10027,TN Border,Suburban,2025,Tower / Collocation,20500.03,28.23
SITE-10027,TN Border,Suburban,2025,MW transport — 3rd party,14086.53,28.23
SITE-10027,TN Border,Suburban,2025,Fiber backhaul circuit,10182.97,28.23
SITE-10027,TN Border,Suburban,2025,Field workforce (contract),15004.93,28.23
SITE-10027,TN Border,Suburban,2025,OEM RAN maint.,11763.51,28.23
SITE-10027,TN Border,Suburban,2025,Power & gen fuel,4934.25,28.23
SITE-10027,TN Border,Suburban,2025,Small cell attach fees,4555.22,28.23
SITE-10027,TN Border,Suburban,2025,NOC / dispatch (allocated),6346.36,28.23
SITE-10027,TN Border,Suburban,2025,Spares & logistics,4237.02,28.23
SITE-10028,AL Panhandle,Suburban,2025,Tower / Collocation,21455.33,81.82
SITE-10028,AL Panhandle,Suburban,2025,MW transport — 3rd party,15095.28,81.82
SITE-10028,AL Panhandle,Suburban,2025,Fiber backhaul circuit,10526.83,81.82
SITE-10028,AL Panhandle,Suburban,2025,Field workforce (contract),15625.38,81.82
SITE-10028,AL Panhandle,Suburban,2025,OEM RAN maint.,11036.78,81.82
SITE-10028,AL Panhandle,Suburban,2025,Power & gen fuel,5291.67,81.82
SITE-10028,AL Panhandle,Suburban,2025,Small cell attach fees,4047.64,81.82
SITE-10028,AL Panhandle,Suburban,2025,NOC / dispatch (allocated),6135.45,81.82
SITE-10028,AL Panhandle,Suburban,2025,Spares & logistics,4495.29,81.82
SITE-10029,AL Panhandle,Urban,2025,Tower / Collocation,19587.15,61.45
SITE-10029,AL Panhandle,Urban,2025,MW transport — 3rd party,14914.08,61.45
SITE-10029,AL Panhandle,Urban,2025,Fiber backhaul circuit,9775.81,61.45
SITE-10029,AL Panhandle,Urban,2025,Field workforce (contract),16367.18,61.45
SITE-10029,AL Panhandle,Urban,2025,OEM RAN maint.,10761.24,61.45
SITE-10029,AL Panhandle,Urban,2025,Power & gen fuel,5474.45,61.45
SITE-10029,AL Panhandle,Urban,2025,Small cell attach fees,4454.6,61.45
SITE-10029,AL Panhandle,Urban,2025,NOC / dispatch (allocated),6039.19,61.45
SITE-10029,AL Panhandle,Urban,2025,Spares & logistics,4442.18,61.45
SITE-10030,Rural West,Rural,2025,Tower / Collocation,25744.97,42.06
SITE-10030,Rural West,Rural,2025,MW transport — 3rd party,16312.3,42.06
SITE-10030,Rural West,Rural,2025,Fiber backhaul circuit,12925.46,42.06
SITE-10030,Rural West,Rural,2025,Field workforce (contract),20199.66,42.06
SITE-10030,Rural West,Rural,2025,OEM RAN maint.,13987.06,42.06
SITE-10030,Rural West,Rural,2025,Power & gen fuel,6251.62,42.06
SITE-10030,Rural West,Rural,2025,Small cell attach fees,5121.97,42.06
SITE-10030,Rural West,Rural,2025,NOC / dispatch (allocated),7236.11,42.06
SITE-10030,Rural West,Rural,2025,Spares & logistics,5367.47,42.06
SITE-10031,Rural West,Rural,2025,Tower / Collocation,25783.62,71.14
SITE-10031,Rural West,Rural,2025,MW transport — 3rd party,18645.92,71.14
SITE-10031,Rural West,Rural,2025,Fiber backhaul circuit,11917.53,71.14
SITE-10031,Rural West,Rural,2025,Field workforce (contract),20014.8,71.14
SITE-10031,Rural West,Rural,2025,OEM RAN maint.,12930.01,71.14
SITE-10031,Rural West,Rural,2025,Power & gen fuel,6336.1,71.14
SITE-10031,Rural West,Rural,2025,Small cell attach fees,5082.93,71.14
SITE-10031,Rural West,Rural,2025,NOC / dispatch (allocated),7526.46,71.14
SITE-10031,Rural West,Rural,2025,Spares & logistics,5291.09,71.14
SITE-10032,TN Border,Suburban,2025,Tower / Collocation,20175.05,74.34
SITE-10032,TN Border,Suburban,2025,MW transport — 3rd party,14081.46,74.34
SITE-10032,TN Border,Suburban,2025,Fiber backhaul circuit,10161.09,74.34
SITE-10032,TN Border,Suburban,2025,Field workforce (contract),14461.83,74.34
SITE-10032,TN Border,Suburban,2025,OEM RAN maint.,10780.2,74.34
SITE-10032,TN Border,Suburban,2025,Power & gen fuel,5455.88,74.34
SITE-10032,TN Border,Suburban,2025,Small cell attach fees,4207.77,74.34
SITE-10032,TN Border,Suburban,2025,NOC / dispatch (allocated),5838.92,74.34
SITE-10032,TN Border,Suburban,2025,Spares & logistics,4406.19,74.34
SITE-10033,Rural West,Suburban,2025,Tower / Collocation,21883.3,89.44
SITE-10033,Rural West,Suburban,2025,MW transport — 3rd party,14346.73,89.44
SITE-10033,Rural West,Suburban,2025,Fiber backhaul circuit,10264.84,89.44
SITE-10033,Rural West,Suburban,2025,Field workforce (contract),16491.27,89.44
SITE-10033,Rural West,Suburban,2025,OEM RAN maint.,11822.03,89.44
SITE-10033,Rural West,Suburban,2025,Power & gen fuel,5468.17,89.44
SITE-10033,Rural West,Suburban,2025,Small cell attach fees,3990.57,89.44
SITE-10033,Rural West,Suburban,2025,NOC / dispatch (allocated),6283.71,89.44
SITE-10033,Rural West,Suburban,2025,Spares & logistics,4343.21,89.44
SITE-10034,AL Panhandle,Urban,2025,Tower / Collocation,19309.71,67.69
SITE-10034,AL Panhandle,Urban,2025,MW transport — 3rd party,14289.03,67.69
SITE-10034,AL Panhandle,Urban,2025,Fiber backhaul circuit,11017.21,67.69
SITE-10034,AL Panhandle,Urban,2025,Field workforce (contract),14799.04,67.69
SITE-10034,AL Panhandle,Urban,2025,OEM RAN maint.,11348.23,67.69
SITE-10034,AL Panhandle,Urban,2025,Power & gen fuel,5052.93,67.69
SITE-10034,AL Panhandle,Urban,2025,Small cell attach fees,4115.31,67.69
SITE-10034,AL Panhandle,Urban,2025,NOC / dispatch (allocated),6348.36,67.69
SITE-10034,AL Panhandle,Urban,2025,Spares & logistics,4441.28,67.69
SITE-10035,AL Panhandle,Urban,2025,Tower / Collocation,22214.71,94.74
SITE-10035,AL Panhandle,Urban,2025,MW transport — 3rd party,13896.56,94.74
SITE-10035,AL Panhandle,Urban,2025,Fiber backhaul circuit,11036.48,94.74
SITE-10035,AL Panhandle,Urban,2025,Field workforce (contract),14336.52,94.74
SITE-10035,AL Panhandle,Urban,2025,OEM RAN maint.,12336.28,94.74
SITE-10035,AL Panhandle,Urban,2025,Power & gen fuel,5235.2,94.74
SITE-10035,AL Panhandle,Urban,2025,Small cell attach fees,4352.09,94.74
SITE-10035,AL Panhandle,Urban,2025,NOC / dispatch (allocated),5560.1,94.74
SITE-10035,AL Panhandle,Urban,2025,Spares & logistics,4519.98,94.74
SITE-10036,South MS,Urban,2025,Tower / Collocation,21871.46,20.44
SITE-10036,South MS,Urban,2025,MW transport — 3rd party,13699.18,20.44
SITE-10036,South MS,Urban,2025,Fiber backhaul circuit,11160.03,20.44
SITE-10036,South MS,Urban,2025,Field workforce (contract),15682.55,20.44
SITE-10036,South MS,Urban,2025,OEM RAN maint.,10576.18,20.44
SITE-10036,South MS,Urban,2025,Power & gen fuel,4696.43,20.44
SITE-10036,South MS,Urban,2025,Small cell attach fees,3945.13,20.44
SITE-10036,South MS,Urban,2025,NOC / dispatch (allocated),6050.84,20.44
SITE-10036,South MS,Urban,2025,Spares & logistics,4455.01,20.44
SITE-10037,South MS,Urban,2025,Tower / Collocation,19460.27,81.9
SITE-10037,South MS,Urban,2025,MW transport — 3rd party,15087.38,81.9
SITE-10037,South MS,Urban,2025,Fiber backhaul circuit,11188.78,81.9
SITE-10037,South MS,Urban,2025,Field workforce (contract),15966.12,81.9
SITE-10037,South MS,Urban,2025,OEM RAN maint.,11786.13,81.9
SITE-10037,South MS,Urban,2025,Power & gen fuel,5375.79,81.9
SITE-10037,South MS,Urban,2025,Small cell attach fees,3937.3,81.9
SITE-10037,South MS,Urban,2025,NOC / dispatch (allocated),5666.1,81.9
SITE-10037,South MS,Urban,2025,Spares & logistics,3994.95,81.9
SITE-10038,AL Panhandle,Suburban,2025,Tower / Collocation,22120.65,62.81
SITE-10038,AL Panhandle,Suburban,2025,MW transport — 3rd party,13600.17,62.81
SITE-10038,AL Panhandle,Suburban,2025,Fiber backhaul circuit,10865.11,62.81
SITE-10038,AL Panhandle,Suburban,2025,Field workforce (contract),14548.57,62.81
SITE-10038,AL Panhandle,Suburban,2025,OEM RAN maint.,11004.98,62.81
SITE-10038,AL Panhandle,Suburban,2025,Power & gen fuel,5271.28,62.81
SITE-10038,AL Panhandle,Suburban,2025,Small cell attach fees,4576.54,62.81
SITE-10038,AL Panhandle,Suburban,2025,NOC / dispatch (allocated),6056.19,62.81
SITE-10038,AL Panhandle,Suburban,2025,Spares & logistics,3947.06,62.81
SITE-10039,TN Border,Suburban,2025,Tower / Collocation,22231.29,11.68
SITE-10039,TN Border,Suburban,2025,MW transport — 3rd party,14876.92,11.68
SITE-10039,TN Border,Suburban,2025,Fiber backhaul circuit,9924.32,11.68
SITE-10039,TN Border,Suburban,2025,Field workforce (contract),14300.53,11.68
SITE-10039,TN Border,Suburban,2025,OEM RAN maint.,10845.55,11.68
SITE-10039,TN Border,Suburban,2025,Power & gen fuel,5491.7,11.68
SITE-10039,TN Border,Suburban,2025,Small cell attach fees,4221.82,11.68
SITE-10039,TN Border,Suburban,2025,NOC / dispatch (allocated),6220.45,11.68
